,FalseSent,Option,label
0,I sting a mosquito,A human is a mammal,0
1,I sting a mosquito,A human is omnivorous,0
2,I sting a mosquito,A human has not stings,1
4,A giraffe is a person.,Giraffes can drink water from a lake.,0
5,A giraffe is a person.,A giraffe is not a human being.,1
6,A giraffe is a person.,.Giraffes usually eat leaves.,0
8,A normal closet is larger than a walk-in closet.,Walk-in closets are normal closets.,0
9,A normal closet is larger than a walk-in closet.,A person can sleep in a walk-in closet.,0
10,A normal closet is larger than a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,1
12,I like to ride my chocolate,Chocolate is delicious and bikes are not,0
13,I like to ride my chocolate,"Chocolate is a food, not a transportation unit",1
14,I like to ride my chocolate,My bike can't ride a chocolate,0
16,A GIRL WON THE RACE WITH HORSE,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,0
17,A GIRL WON THE RACE WITH HORSE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,0
18,A GIRL WON THE RACE WITH HORSE,HORSE RAN FASTER THAN HER,1
20,he put elephant into the jug,elephants is an animal and jug is a thing,0
21,he put elephant into the jug,a jug is so small than an elephant,1
22,he put elephant into the jug,jug is used for store things,0
24,A dog plays volleyball,Only humans play volleyball,1
25,A dog plays volleyball,Dogs are not wild animals,0
26,A dog plays volleyball,Humans trust dogs,0
28,Eggs eat kis on Easter.,Easter has a lot of eggs.,0
29,Eggs eat kis on Easter.,No egg eat kids.,1
30,Eggs eat kis on Easter.,Eggs are made for easter.,0
32,An employee can price goods,An owner serve foods to employees,0
33,An employee can price goods,Owners always stand and sell goods,0
34,An employee can price goods,Only owner could price the goods,1
36,she wear hat in the hand,hat usually black in colour and bangles are in different colours,0
37,she wear hat in the hand,hat usually wear on the head,1
38,she wear hat in the hand,hat will be big in size,0
40,Roses buds  eat caterpillars,Rose buds are edible while caterpillars aren't,0
41,Roses buds  eat caterpillars,Rose buds bloom and caterpillars crawl,0
42,Roses buds  eat caterpillars,Caterpillars have mouths while rose buds don't,1
44,the computer broke down and the doctor fixed it,the technician heals people and the doctor heals machines,0
45,the computer broke down and the doctor fixed it,the technician is a doctor's friend and fixes the computer,0
46,the computer broke down and the doctor fixed it,a doctor does not fix computers,1
48,I drank bleach.,Bleach is a denser liquid than water.,0
49,I drank bleach.,Bleach is used for cleaning.,1
50,I drank bleach.,Bleach is not stored in the kitchen.,0
52,I usually wear a shoe on my head,Cap looks good on the head,0
53,I usually wear a shoe on my head,Shoe can be worn in feet only,1
54,I usually wear a shoe on my head,We wear different things on the head,0
56,My brother placed the nuclear reactor inside the box.,Nuclear reactor can be contained in a container.,0
57,My brother placed the nuclear reactor inside the box.,Nuclear reactor is contained in a place.,0
58,My brother placed the nuclear reactor inside the box.,Nuclear reactor is way too big to be placed in a box.,1
60,She took the chair for a walk,Chairs can't walk,1
61,She took the chair for a walk,Chairs can only go for runs,0
62,She took the chair for a walk,A chair is red,0
64,He mowed the carpet,grass is usually green while carpets are usually not,0
65,He mowed the carpet,"lawnmowers are for cutting grass, not carpets",1
66,He mowed the carpet,carpet is too short to mow,0
68,I dress an elephant,An elephant is a wild animal,1
69,I dress an elephant,An elephant is grey,0
70,I dress an elephant,An elephant has a proboscis,0
72,I cook football very well,A football is thing to play with not a thing to eat,1
73,I cook football very well,A football kept on the table looks good,0
74,I cook football very well,A football and a watermelon is almost equal in size,0
76,Car is a very good mode of water transport,A car and a boat is a good mode of transport,0
77,Car is a very good mode of water transport,Car is a mode of land of transport,1
78,Car is a very good mode of water transport,I either use a boat and a car to travel,0
80,a dog is taken to a pool after getting sick,the dogs get sick and the pools clean,0
81,a dog is taken to a pool after getting sick,a pool has no medical attention for animals,1
82,a dog is taken to a pool after getting sick,a dog cannot spread a pool,0
84,She rode her bike to the moon.,Her bike is not the same color as the moon.,0
85,She rode her bike to the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",1
86,She rode her bike to the moon.,She did not have permission from her parents to ride her bike that far away from home.,0
88,A boy shuts down,A boy is full of energy,0
89,A boy shuts down,A boy is a male,0
90,A boy shuts down,"A boy can fall asleep, but a boy cannot shut down",1
92,I play games on my Gas stove,Gas stove a very important equipment used in the house,0
93,I play games on my Gas stove,Gas stove is frequently used in the house,0
94,I play games on my Gas stove,Gas stove is equipment to cook food,1
96,Stars read me,Stars has not eyes,1
97,Stars read me,Stars are too big,0
98,Stars read me,Stars are too far,0
100,A boy turns off the door,A door cannot turn off a light,0
101,A boy turns off the door,A door can be closed but a door cannot be turned off,1
102,A boy turns off the door,A light cannot close the door,0
104,He read a very long window King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",1
105,He read a very long window King Tut.,Glass windows were invented after King Tut was born.,0
106,He read a very long window King Tut.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",0
108,He lost his phone in the mouth of a griffin.,A griffin would find that metal of a phone disgusting and not want to eat it.,0
109,He lost his phone in the mouth of a griffin.,A griffin always shares what it eats with it's baby griffins.,0
110,He lost his phone in the mouth of a griffin.,A griffin is a mythical creature that does not exist.,1
112,he kept a chair inside the fridge,fridge store vegetables and fruits,0
113,he kept a chair inside the fridge,chair is bigger than the fridge,1
114,he kept a chair inside the fridge,chair used to sit,0
116,I use internet on my radio,We get signal on a radio,0
117,I use internet on my radio,Radio is a great mode of communication,0
118,I use internet on my radio,Internet can not be used on a radio,1
120,She drove her children to the moon.,Children can't breathe on the moon.,0
121,She drove her children to the moon.,The moon has no swing sets.,0
122,She drove her children to the moon.,The moon is not reachable by car.,1
124,She parachuted into the grocery store from a plane.,"If you jumped from a plane to get groceries, you would have no way to get them home.",1
125,She parachuted into the grocery store from a plane.,It's difficult to park a plane in a grocery store parking lot.,0
126,She parachuted into the grocery store from a plane.,Grocery stores do not carry parachutes.,0
128,The fish swam in the desert.,Fish do not take vacations to the desert.,0
129,The fish swam in the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand",0
130,The fish swam in the desert.,"A desert has no water, so a fish could not swim there.",1
132,There was a dead ice creature walking in the snow.,Dead ice creatures do not walk on ice.,0
133,There was a dead ice creature walking in the snow.,Dead ice creatures do not walk.,0
134,There was a dead ice creature walking in the snow.,Dead ice creatures do not exist.,1
136,I swim under a tap,Tap a good source of water,0
137,I swim under a tap,Tap water is generally used to take bath,0
138,I swim under a tap,There are not enough water under a tap to swim,1
140,A person eats mountains,A mountain is much bigger than a person,1
141,A person eats mountains,Mountains are usually cold while a person is usually hot,0
142,A person eats mountains,Mountains cannot eat a person,0
144,Jane saw a giraffe in her purse.,A purse is too small for a giraffe to be in.,1
145,Jane saw a giraffe in her purse.,The giraffe's body pattern clashes with her purple leather purse.,0
146,Jane saw a giraffe in her purse.,Jane's dad does not allow her to have pets.,0
148,We use book to know the time,A book and a clock is very essential in our daily life,0
149,We use book to know the time,A book is used to study,1
150,We use book to know the time,A book plays a very important role in our life,0
152,I was playing basketball with a rock,"You need a bouncing objet for playing basketball, and a rock does not bounce",1
153,I was playing basketball with a rock,Rock are usually opaque and the ball is orange,0
154,I was playing basketball with a rock,People really love to watch NBA,0
156,Mary took her moth for a walk,moths like flying towards the light,0
157,Mary took her moth for a walk,it is unusual to keep a moth as a pet,1
158,Mary took her moth for a walk,somebody stepped on the moth and crushed it,0
160,I like to listen colours as I commute,Colours are not usually easy to find in dark,0
161,I like to listen colours as I commute,You should not run as you commute,0
162,I like to listen colours as I commute,Colours cannot being listened,1
164,I run in the air,We can travel using both air and the ground,0
165,I run in the air,Walking is not possible in the air,1
166,I run in the air,Birds fly in the air,0
168,There was a blonde woman riding a dragon.,Blond women don't ride dragons.,0
169,There was a blonde woman riding a dragon.,Usually women don't ride dragons.,0
170,There was a blonde woman riding a dragon.,Dragons do not exist.,1
172,He ate the book,Book does not taste good,0
173,He ate the book,He does not like book,0
174,He ate the book,Book is not a food,1
176,Jake ate artificial mango,Mango are sweet but bitter too,0
177,Jake ate artificial mango,Human can't eat artificial made fruits,1
178,Jake ate artificial mango,Mango cannot eat jack,0
180,Baby is taking dictionary,Dictionary is colour full,0
181,Baby is taking dictionary,It is too heavy,1
182,Baby is taking dictionary,Dictionary can not  take a baby,0
184,the school was open for summer,summertime is typically vacation time for school,1
185,the school was open for summer,the temperature outside is too hot to learn in the summer,0
186,the school was open for summer,schools wait until the first leaf falls in autumn to open,0
188,The chocolate cried,Chocolate is a melting solid therefore cannot cry,1
189,The chocolate cried,The chocolate has no eyes to cry,0
190,The chocolate cried,The chocolate was too cold,0
192,There are barbecues in the middle of a television program,barbecues can be shown in commercials,0
193,There are barbecues in the middle of a television program,barbecues and commercials are sold to us,0
194,There are barbecues in the middle of a television program,barbecues are a physical object not like commercials,1
196,You never puke after getting drunk,We all puke without alcohol,0
197,You never puke after getting drunk,Too much alcohol in our organism makes us puke,1
198,You never puke after getting drunk,There are drinks with no alcohol,0
200,You can use a jellyfish to hold checks.,A jellyfish is a sea creature not intended to hold anything.,1
201,You can use a jellyfish to hold checks.,Jellyfish are soft and checks are made of paper.,0
202,You can use a jellyfish to hold checks.,Jellyfish don't eat checks.,0
204,Lawyers are people who play characters in television or theatre,many lawyers do not have time to watch the television,0
205,Lawyers are people who play characters in television or theatre,lawyers are people who provide legal aid,1
206,Lawyers are people who play characters in television or theatre,some characters in television or theatre are lawyers,0
208,A small dog is called a kitten,kittens are smaller than dogs,0
209,A small dog is called a kitten,a kitten cannot eat dog food,0
210,A small dog is called a kitten,a kitten is a small cat,1
212,My daughter always takes bath in a kitchen sink and avoids bath tub,Tap in kitchen sink can be used to wash anything,0
213,My daughter always takes bath in a kitchen sink and avoids bath tub,Kitchen sink is not big enough to take bath in it,1
214,My daughter always takes bath in a kitchen sink and avoids bath tub,Most kitchens are fit with both hot and cold water taps,0
216,He killed him with a programming language,Programming language is not a weapon,1
217,He killed him with a programming language,Programming languages are dangerous,0
218,He killed him with a programming language,He does not like programming language,0
220,The cinema shared popcorn with them,You can't share food with an establishment,1
221,The cinema shared popcorn with them,popcorn is for feeding chickens,0
222,The cinema shared popcorn with them,popcorn is only fictional,0
224,Rotten food smells nice.,Rotten food does not wash itself and so it smells bad.,0
225,Rotten food smells nice.,Rotten food can not use deodorant and so it smells nasty.,0
226,Rotten food smells nice.,Rotten food is decomposing and producing toxic smelly gasses.,1
228,An actor wear a toaster.,Toasters are not in fashion.,0
229,An actor wear a toaster.,Toasters are not clothing,1
230,An actor wear a toaster.,Toasters are too hot while costumes are not.,0
232,The man slept on the volcano.,Beds are generally comfortable while volcanoes cause destruction.,1
233,The man slept on the volcano.,A volcano is much larger than a bed.,0
234,The man slept on the volcano.,The bed cannot be on the volcano.,0
236,She spoke to a ghost at the door.,Ghosts are white while the doors are yellow.,0
237,She spoke to a ghost at the door.,Ghosts don't exist.,1
238,She spoke to a ghost at the door.,Ghosts can't talk to the living.,0
240,You will never see a teacher inside of a school.,Teachers are legally required to always be inside of a school.,0
241,You will never see a teacher inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,1
242,You will never see a teacher inside of a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school,0
244,She cuts a pizza with an advertising board.,Advertising signs are usually square while the pizzas are round.,0
245,She cuts a pizza with an advertising board.,An advertising board cannot eat a pizza.,0
246,She cuts a pizza with an advertising board.,An advertising board is much larger than a pizza.,1
248,They built the sun,The sun is a natural object created from space,1
249,They built the sun,The sun is bigger than the house,0
250,They built the sun,The sun causes people to wear sunscreen at the beach,0
252,There was a chicken flying.,Chickens prefer to stay on the floor.,0
253,There was a chicken flying.,Chickens do not fly.,1
254,There was a chicken flying.,It is not common to see chickens flying.,0
256,He played the cow very well,Cows are not vehicles,0
257,He played the cow very well,Cows are not musical instruments,1
258,He played the cow very well,Cows are not sentient,0
260,You are still alive if you do not have a heartbeat.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,0
261,You are still alive if you do not have a heartbeat.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,1
262,You are still alive if you do not have a heartbeat.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,0
264,the trampoline jumped on him,a trampoline is not sentient and cannot jump,1
265,the trampoline jumped on him,trampolines can say how high to jump,0
266,the trampoline jumped on him,the man is a trampoline,0
268,Georgia Tech trains dragons,Dragons are not a creature that exists,1
269,Georgia Tech trains dragons,Dragons are too big for the buildings at Georgia Tech.,0
270,Georgia Tech trains dragons,Dragons have more tails than people do.,0
272,She was going to school in a lunch box,Lunch box is a container to carry food,1
273,She was going to school in a lunch box,Lunch box is in blue color and she does not like blue color,0
274,She was going to school in a lunch box,The lunch box was full,0
276,The moon gets fixed and that's how it returns to full,The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,0
277,The moon gets fixed and that's how it returns to full,The sides of the moon are made of cheese and can be eaten,0
278,The moon gets fixed and that's how it returns to full,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",1
280,You are cooking the music,I like cooking elaborated recipes,0
281,You are cooking the music,Music should be maintained at a decent volume to not to disturb the neighbors,0
282,You are cooking the music,Music is not cookable,1
284,The storage in every computer is unlimited.,A computer gets tired when there are too many files so storage is not unlimited.,0
285,The storage in every computer is unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,0
286,The storage in every computer is unlimited.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,1
